mot	idft
0	2.2121876044039577
00	2.2121876044039577
01	2.513217600067939
010	2.513217600067939
03	2.513217600067939
05	2.513217600067939
1	0.727887765057172
10	0.9334340034511289
100	1.23446399911511
1000	1.5589750906286142
10000	1.8142475957319202
100000	1.8142475957319202
1000°	2.513217600067939
101007s000490130128z	2.513217600067939
1015	1.9111576087399766
1024	2.513217600067939
105	2.2121876044039577
106	2.513217600067939
109	2.2121876044039577
10ème	2.2121876044039577
11	1.367089564389701
110	2.513217600067939
111	2.2121876044039577
115	2.0360963453482768
117	2.513217600067939
11ème	2.513217600067939
12	1.1707949192457328
120	2.2121876044039577
12000	2.513217600067939
125	2.2121876044039577
125000	2.513217600067939
126	2.513217600067939
128	2.2121876044039577
12hydroxy	2.513217600067939
12mois	2.513217600067939
12ème	2.513217600067939
13	1.6101276130759954
130	2.513217600067939
135	2.513217600067939
1367	2.513217600067939
13ème	2.513217600067939
14	1.5589750906286142
140	1.9111576087399766
142	2.513217600067939
145	2.513217600067939
1466	2.513217600067939
14ème	2.513217600067939
15	1.098244252097121
150	1.6101276130759954
1500	1.8142475957319202
15000	2.2121876044039577
150000	2.0360963453482768
150ème	2.513217600067939
154	2.513217600067939
15ème	2.513217600067939
16	1.3371263410122578
1600	2.2121876044039577
167	2.513217600067939
16ème	2.513217600067939
17	1.257945094964633
170	2.513217600067939
173000	2.513217600067939
178	2.513217600067939
1780	2.513217600067939
17ème	2.513217600067939
18	1.23446399911511
1809	2.513217600067939
182	2.513217600067939
1859	2.513217600067939
188	2.513217600067939
19	1.471824914909714
1901	2.513217600067939
1925	2.513217600067939
1940	2.513217600067939
1946	2.513217600067939
1950	2.2121876044039577
1954	2.513217600067939
1959	2.513217600067939
1960	2.513217600067939
1961	2.513217600067939
1963	2.513217600067939
1969	2.513217600067939
1970	2.2121876044039577
1973	2.513217600067939
1978	2.513217600067939
1979	2.2121876044039577
1980	1.9111576087399766
1981	2.513217600067939
1982	2.2121876044039577
1983	2.513217600067939
1985	2.513217600067939
1987	2.513217600067939
