mot	doc_id	tf
0	67939	1
0	69540	1
00	69541	2
00	72932	1
01	75792	1
010	73436	1
03	68646	1
05	71361	1
1	67387	1
1	67388	1
1	67801	1
1	67802	1
1	67940	1
1	68273	2
1	68277	1
1	68383	1
1	68388	1
1	68390	1
1	68391	1
1	68640	3
1	68641	1
1	68643	1
1	68646	1
1	68881	1
1	68882	2
1	68885	1
1	68889	1
1	69178	1
1	69179	2
1	69182	1
1	69534	1
1	69540	2
1	69541	1
1	69814	1
1	70425	1
1	70743	2
1	70916	1
1	71360	1
1	71362	1
1	71619	1
1	71841	1
1	72115	1
1	72117	2
1	72121	1
1	72392	1
1	72394	1
1	72397	2
1	72631	1
1	72634	1
1	72934	1
1	73184	1
1	73187	1
1	73189	1
1	73431	1
1	73683	2
1	73684	1
1	73687	1
1	73689	2
1	74171	1
1	74453	1
1	75064	1
1	75065	1
1	75067	1
1	75069	1
1	75458	1
1	75793	1
1	75794	1
1	76508	1
1	76509	1
10	67390	1
10	67555	1
10	68273	1
10	68281	1
10	68383	1
10	68638	1
10	68881	1
10	68882	1
10	68885	1
10	69179	1
10	69185	1
10	69814	1
10	70163	1
10	70743	1
10	70747	1
10	70918	1
10	71360	1
10	71619	1
10	72115	1
10	72117	1
10	72633	1
10	72635	1
10	72933	1
10	72934	3
10	72937	1
10	73182	1
10	73434	1
10	73684	1
10	73688	1
10	74173	2
10	75065	1
10	75458	1
10	75464	1
10	75795	2
10	75797	1
10	76212	1
10	76508	1
10	76512	1
100	67388	1
100	67941	1
100	68883	1
100	69814	1
100	70165	1
100	70167	1
100	70425	1
100	70916	1
100	70917	1
100	71836	2
100	72392	1
100	73190	1
100	73432	1
100	73688	1
100	73878	1
100	74451	1
100	75065	1
100	75789	1
100	75792	2
1000	69540	1
1000	69811	2
1000	69814	1
1000	70746	1
1000	72115	2
1000	72118	2
1000	72397	1
1000	73879	1
1000	75796	1
10000	67068	1
10000	68387	1
10000	69818	1
10000	69821	1
10000	70167	1
100000	 12 j	1
100000	67801	1
100000	67937	1
100000	68646	1
100000	72934	1
1000°	69819	1
101007s000490130128z	72632	1
1015	68638	1
1015	70425	1
1015	70744	1
1015	72934	1
1024	73879	1
105	68640	1
105	68883	2
106	67387	1
109	68886	1
109	70425	1
10ème	68383	1
10ème	74746	1
11	67555	1
11	67944	1
11	68273	1
11	68276	1
11	68389	1
11	68642	1
11	68889	1
11	69541	1
11	70751	1
11	72121	1
11	72937	1
11	73689	1
11	73880	1
11	75794	1
110	75066	1
111	71361	1
111	75066	1
115	68275	1
115	68640	1
115	69179	1
117	72933	1
11ème	73884	1
12	 12 j	1
12	67071	1
12	67555	1
12	67798	1
12	67939	2
12	68277	1
12	68279	1
12	68881	1
12	69180	1
12	70424	1
12	71614	1
12	71619	1
12	72122	1
12	72395	1
12	73182	1
12	73436	1
12	73689	1
12	73881	1
12	74170	1
12	74746	1
12	75065	1
12	75797	1
120	71360	1
120	73430	1
12000	72122	1
125	68882	1
125	72392	1
125000	69537	1
126	72392	1
128	70916	1
128	75066	1
12hydroxy	67558	3
12mois	74451	1
12ème	72633	1
13	67555	1
13	67946	1
13	68274	1
13	69179	1
13	70751	1
13	72118	1
13	72630	1
13	73880	1
130	72940	1
135	71840	1
1367	69179	1
13ème	69818	1
14	68387	1
14	68640	1
14	69541	1
14	69542	1
14	70169	1
14	73183	1
14	73691	1
14	73881	1
14	75068	1
140	67554	1
140	69818	1
140	72633	1
140	74454	1
