mot	docs
21/06/2011	['67068', '67071']
27	['67068', '67383', '69538', '69542', '70161', '70161', '70163', '70165', '72396', '73437', '75464']
avril	['67068', '67383', '67555', '68640', '68889', '69186', '69543', '70165', '70167', '72393', '72399', '72936', '73188', '75459', '75794', '75794', '76208', '76209', '76509', '76509', '76511', '76511']
rnier	['67068', '67383', '67387', '67553', '67554', '67556', '67558', '67561', '67794', '67794', '67795', '67795', '67798', '67800', '67800', '67801', '67802', '67937', '67937', '67937', '68274', '68277', '68278', '68279', '68280', '68281', '68383', '68383', '68384', '68384', '68384', '68385', '68386', '68386', '68387', '68387', '68388', '68389', '68391', '68638', '68639', '68640', '68643', '68645', '68881', '68881', '68882', '68882', '68884', '68887', '68888', '68888', '69177', '69177', '69177', '69179', '69179', '69180', '69183', '69184', '69185', '69533', '69533', '69534', '69534', '69535', '69536', '69811', '69812', '69815', '69816', '70161', '70162', '70162', '70163', '70165', '70166', '70166', '70421', '70421', '70423', '70743', '70745', '70747', '70914', '70917', '70919', '70922', '71357', '71357', '71358', '71362', '71612', '71612', '71615', '71835', '71836', '71837', '72113', '72115', '72116', '72122', '72394', '72394', '72396', '72396', '72400', '72629', '72630', '72630', '72631', '72633', '72633', '72636', '72636', '72933', '72933', '72933', '72933', '72933', '72934', '73182', '73182', '73182', '73182', '73182', '73183', '73184', '73185', '73434', '73434', '73435', '73437', '73683', '73687', '73687', '73688', '73875', '73877', '73878', '73878', '73884', '74167', '74168', '74170', '74170', '74449', '74450', '74452', '74744', '74746', '74746', '75064', '75065', '75065', '75067', '75068', '75069', '75071', '75071', '75457', '75460', '75462', '76207', '76207', '76207', '76208', '76209', '76209', '76507', '76508', '76509', '76509', '76511', '76511', '76511', '76511', '76513', '76516', '76516']
cnrs	['67068', '67068', '67383', '67383', '67383', '67385', '67390', '67558', '67795', '67800', '67802', '67937', '67937', '67937', '67937', '67937', '67937', '67937', '67943', '67945', '68278', '68280', '68280', '68384', '68389', '68389', '68390', '68641', '68641', '68642', '68645', '68646', '68883', '68887', '69178', '69178', '69180', '69181', '69533', '69814', '69816', '70424', '70426', '70426', '70744', '70745', '70916', '70916', '71615', '71843', '72114', '72932', '72939', '72939', '72940', '72940', '73183', '73183', '73183', '73183', '73186', '73431', '73431', '73683', '73683', '73683', '73683', '74452', '74452', '74750', '74752', '75063']
décerner	['67068', '67937', '67937', '67937', '70752']
médaille	['67068', '67383', '67937', '67937', '67937', '67937', '68276', '71835', '71835', '72636', '72932', '72932', '72932', '73183', '73684', '74750']
innovation	['67068', '67068', '67068', '67383', '67383', '67383', '67383', '67383', '67383', '67561', '67795', '67938', '67938', '67938', '67946', '68273', '68274', '68274', '68276', '68279', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68383', '68384', '68384', '68393', '68639', '68639', '68639', '68640', '68642', '68642', '68882', '68885', '69533', '69536', '69818', '70162', '70168', '70168', '70748', '70751', '70753', '71359', '71359', '71361', '71361', '71363', '71620', '71840', '72113', '72120', '72120', '72120', '72122', '72122', '72392', '72395', '72395', '72395', '72395', '72395', '72395', '72395', '72395', '72395', '72395', '72395', '72400', '72400', '72400', '72633', '72933', '72933', '72933', '72933', '72933', '72933', '72933', '72937', '72938', '73182', '73190', '73190', '73438', '73438', '73438', '73687', '73689', '73689', '73689', '73876', '73876', '73879', '73882', '73882', '73883', '73883', '74167', '74167', '74167', '74167', '74167', '74171', '74172', '74172', '74176', '74176', '74176', '74176', '74176', '74455', '74455', '74455', '74744', '74744', '74744', '74748', '74748', '74748', '74748', '74748', '74750', '74752', '75065', '75066', '75066', '75066', '75066', '75066', '75066', '75068', '75068', '75068', '75071', '75457', '75465', '75466', '75789', '75790', '75797', '75797', '75797', '76208', '76208', '76209', '76211', '76211', '76211', '76211', '76211', '76211', '76211', '76211', '76212', '76212', '76212', '76212', '76213', '76507']
valérie	['67068']
pécresse	['67068']
