mot	racine
Physique	physiqu
Mathias	mathi
Fink	fink
bel	bel
exemple	exempl
chercheur	chercheur
innove	innov
Le	le
avril	avril
dernier	derni
CNRS	cnr
décernait	décern
Médaille	médaill
l'	l'
Innovation	innov
Valérie	valer
Pécresse	pécress
ministre	ministr
l'	l'
Enseignement	enseign
Supérieur	supérieur
Recherche	recherch
l'	l'
origine	origin
création	création
Le	le
CNRS	cnr
souhaite	souhait
honorer	honor
ingénieurs	ingénieur
travaillant	travaill
établissements	établ
publics	public
recherche	recherch
universités	univers
grandes	grand
écoles	écol
industriels	industriel
développent	développent
innovations	innov
marquantes	marqu
Pour	pour
édition	édit
nouvelle	nouvel
distinction	distinct
attribuée	attribu
réputés	réput
l'	l'
économiste	économ
Esther	esther
Duflo	duflo
roboticien	roboticien
François	françois
Pierrot	pierrot
physicien	physicien
Mathias	mathi
Fink	fink
Directeur	directeur
l'	l'
Institut	institut
Langevin	langevin
Ondes	onde
Images	imag
créé	cré
janvier	janvi
l'	l'
Ecole	ecol
Physique	physiqu
Chimie	chim
Industrielles	industriel
Ville	vill
Paris	paris
ESPCI	espci
Mathias	mathi
Fink	fink
remarquable	remarqu
exemple	exempl
innovent	innovent
Les	le
équipe	équip
abouti	about
création	création
quatre	quatr
start	start
ups	up
totalisent	totalisent
personnes	person
domaines	domain
variés	vari
médecine	médecin
télécommunications	télécommun
multimédia	multimédi
objets	objet
tactiles	tactil
J'	j'
aime	aim
transformer	transform
idées	idé
fondamentale	fondamental
produits	produit
innovants	innov
précise	précis
d'	d'
emblée	emblé
Mathias	mathi
Fink	fink
Mais	mais
parvenir	parven
fallait	fall
trouver	trouv
terrain	terrain
propice	propic
Et	et
c'	c'
est	est
fin	fin
l'	l'
occasion	occas
d'	d'
une	une
rencontre	rencontr
Georges	georg
Charpak	charpak
Nobel	nobel
Physique	physiqu
qu'	qu'
il	il
découvrir	découvr
coeur	coeur
Montagne	montagn
Sainte	saint
Geneviève	geneviev
plein	plein
Paris	paris
Alors	alor
physicien	physicien
d'	d'
un	un
grands	grand
laboratoires	laboratoir
français	franc
solide	solid
Mathias	mathi
Fink	fink
souhaite	souhait
l'	l'
innovation	innov
autour	autour
concept	concept
temps	temp
De	de
belle	bel
physique	physiqu
qualifient	qualifient
connaisseurs	connaisseur
intéresse	intéress
quatre	quatr
grands	grand
industriels	industriel
secteur	secteur
aéronautique	aéronaut
Dassault	dassault
Aerospatial	aerospatial
Snecma	snecm
Turboméca	turbomec
prêts	prêt
financer	financ
travaux	traval
Mais	mais
époque	époqu
milieu	milieu
peu	peu
enclin	enclin
travailler	travaill
l'	l'
industrie	industr
d'	d'
autant	aut
celle-ci	celle-c
militaro	militaro
industrielle	industriel
Aussi	auss
Mathias	mathi
Fink	fink
retrouve	retrouv
isolé	isol
Georges	georg
Charpak	charpak
lui	lui
propose	propos
rencontrer	rencontr
Pierre-Gilles	pierre-gill
Gennes	gen
directeur	directeur
l'	l'
ESPCI	espci
Jacques	jacqu
Lewiner	lewin
directeur	directeur
scientifique	scientif
C'	c'
est	est
endroit	endroit
sympathique	sympath
lui	lui
précise	précis
Georges	georg
Charpak	charpak
Je	je
ai	ai
rencontré	rencontr
L'	l'
endroit	endroit
était	était
sympathique	sympath
Ils	il
m'	m'
ont	ont
dit	dit
vous	vous
voulez	voul
Innovez	innov
Alors	alor
venez	ven
résume	résum
Mathias	mathi
Fink	fink
ajoute	ajout
cela	cel
chance	chanc
ma	ma
carrière	carri
C'	c'
est	est
dès	des
physicien	physicien
crée	cré
Laboratoire	laboratoir
Ondes	onde
Acoustique	acoust
école	écol
qu'	qu'
il	il
qualifie	qualif
d'"unique	d'"uniqu
Innover	innov
particulièrement	particuli
bien	bien
vu	vu
l'	l'
ESPCI	espci
l'	l'
on	on
vous	vous
donne	don
feu	feu
vert	vert
moment	moment
l'	l'
idée	idé
proposée	propos
originale	original
précise	précis
-t	-t
-il	-il
Autre	autr
particularité	particular
école	écol
vraiment	vrai
autres	autr
Grandes	grand
Ecoles	ecol
pluridisciplinarité	pluridisciplinar
règne	regn
Ne	ne
