mot	lemme
Physique	physique
Mathias	mathia
Fink	Fink
bel	bel
exemple	exemple
chercheur	chercheur
innove	innove
Le	le
avril	avril
dernier	dernier
CNRS	CNRS
décernait	décerner
Médaille	Médaille
l'	le
Innovation	innovation
Valérie	Valérie
Pécresse	Pécresse
ministre	ministre
l'	le
Enseignement	enseignement
Supérieur	supérieur
Recherche	recherche
l'	le
origine	origine
création	création
Le	le
CNRS	cnrs
souhaite	souhaiter
honorer	honorer
ingénieurs	ingénieur
travaillant	travailler
établissements	établissement
publics	public
recherche	recherche
universités	université
grandes	grand
écoles	école
industriels	industriel
développent	développer
innovations	innovation
marquantes	marquante
Pour	pour
édition	édition
nouvelle	nouveau
distinction	distinction
attribuée	attribuer
réputés	réputé
l'	le
économiste	économiste
Esther	Esther
Duflo	Duflo
roboticien	roboticien
François	François
Pierrot	Pierrot
physicien	physicien
Mathias	Mathias
Fink	Fink
Directeur	directeur
l'	le
Institut	Institut
Langevin	Langevin
Ondes	onde
Images	Images
créé	créer
janvier	janvier
l'	le
Ecole	ecole
Physique	physique
Chimie	chimie
Industrielles	Industrielles
Ville	ville
Paris	Paris
ESPCI	espci
Mathias	mathia
Fink	fink
remarquable	remarquable
exemple	exemple
innovent	innover
Les	le
équipe	équipe
abouti	aboutir
création	création
quatre	quatre
start	start
ups	up
totalisent	totalisent
personnes	personne
domaines	domaine
variés	varier
médecine	médecine
télécommunications	télécommunications
multimédia	multimédia
objets	objet
tactiles	tactile
J'	je
aime	aimer
transformer	transformer
idées	idée
fondamentale	fondamental
produits	produit
innovants	innovant
précise	préciser
d'	de
emblée	emblée
Mathias	mathia
Fink	Fink
Mais	mais
parvenir	parvenir
fallait	falloir
trouver	trouver
terrain	terrain
propice	propice
Et	et
c'	ce
est	être
fin	fin
l'	le
occasion	occasion
d'	de
une	un
rencontre	rencontre
Georges	Georges
Charpak	Charpak
Nobel	Nobel
Physique	physique
qu'	que
il	il
découvrir	découvrir
coeur	coeur
Montagne	Montagne
Sainte	saint
Geneviève	Geneviève
plein	plein
Paris	Paris
Alors	alors
physicien	physicien
d'	de
un	un
grands	grand
laboratoires	laboratoire
français	français
solide	solide
Mathias	mathia
Fink	Fink
souhaite	souhaiter
l'	le
innovation	innovation
autour	autour
concept	concept
temps	temps
De	de
belle	bel
physique	physique
qualifient	qualifient
connaisseurs	connaisseur
intéresse	intéresser
quatre	quatre
grands	grand
industriels	industriel
secteur	secteur
aéronautique	aéronautique
Dassault	Dassault
Aerospatial	Aerospatial
Snecma	Snecma
Turboméca	Turboméca
prêts	prêt
financer	financer
travaux	traval
Mais	mais
époque	époque
milieu	milieu
peu	peu
enclin	enclin
travailler	travailler
l'	le
industrie	industrie
d'	de
autant	autant
celle-ci	celui-ci
militaro	militaro
industrielle	industriel
Aussi	aussi
Mathias	mathia
Fink	fink
retrouve	retrouve
isolé	isolé
Georges	Georges
Charpak	Charpak
lui	luire
propose	proposer
rencontrer	rencontrer
Pierre-Gilles	Pierre-Gilles
Gennes	Gennes
directeur	directeur
l'	le
ESPCI	ESPCI
Jacques	Jacques
Lewiner	Lewiner
directeur	directeur
scientifique	scientifique
C'	ce
est	être
endroit	endroit
sympathique	sympathique
lui	luire
précise	préciser
Georges	Georges
Charpak	Charpak
Je	je
ai	avoir
rencontré	rencontrer
L'	le
endroit	endroit
était	être
sympathique	sympathique
Ils	il
m'	me
ont	avoir
dit	dire
vous	vous
voulez	vouloir
Innovez	innover
Alors	alors
venez	venir
résume	résumer
Mathias	Mathias
Fink	Fink
ajoute	ajoute
cela	celer
chance	chance
ma	mon
carrière	carrière
C'	ce
est	être
dès	dès
physicien	physicien
crée	créer
Laboratoire	Laboratoire
Ondes	onde
Acoustique	Acoustique
école	école
qu'	que
il	il
qualifie	qualifier
d'"unique	d'"uniqu
Innover	innover
particulièrement	particulièrement
bien	bien
vu	voir
l'	le
ESPCI	ESPCI
l'	le
on	on
vous	vous
donne	donne
feu	feu
vert	vert
moment	moment
l'	le
idée	idée
proposée	proposer
originale	original
précise	préciser
-t	-t
-il	il
Autre	autre
particularité	particularité
école	école
vraiment	vraiment
autres	autre
Grandes	Grandes
Ecoles	Ecoles
pluridisciplinarité	pluridisciplinarité
règne	règn
Ne	ne
cherchez	chercher
pas	pas
vous	vous
n'	ne
y	y
trouverez	trouver
ailleurs	ailleurs
département	département
physique	physique
département	département
chimie	chimie
département	département
biologie	biologie
Ici	ici
vous	vous
dit	dire
dès	dès
départ	départ
vous	vous
êtes	être
chercheur	chercheur
amusez	amuser
-vous	vous
souligne	souligner
-t	-t
-il	il
pointe	pointe
d'	de
humour	humour
Et	et
c'	ce
est	être
s'	se
amusant	amuser
lui	luire
équipe	équipe
développé	développé
fameux	fameux
miroirs	miroir
retournement	retournement
temporel	temporel
permettent	permettre
d'	de
échantillonner	échantillonner
d'	de
enregistrer	enregistrer
champ	champ
acoustique	acoustique
incident	incident
puis	pouvoir
réémettre	réémettre
chronologie	chronologie
inversée	inverser
Mathias	mathia
Fink	fink
collaborateurs	collaborateur
rendus	rendu
compte	compte
revivre	revivre
onde	onde
vie	vie
passée	passer
permettait	permettre
focaliser	focaliser
onde	onde
source	source
d'	de
une	un
façon	façon
efficace	efficace
Ils	il
commencèrent	commencer
travailler	travailler
d'	de
abord	abord
ultrasons	ultrason
puis	pouvoir
ondes	onde
sismiques	sismique
micro-ondes	micro-ondes
Cette	ce
équipe	équipe
aurait	avoir
pu	pouvoir
limiter	limiter
publier	publier
d'	de
excellents	excellent
papiers	papier
publications	publication
réputées	réputer
Physical	Physical
Review	Review
Mais	mais
compris	compris
vite	vite
qu'	que
au-delà	au-delà
belle	bel
physique	physique
avait	avoir
applications	application
potentielles	potentiel
Ainsi	ainsi
temps	temps
permettait	permettre
brûler	brûler
tumeur	tumeur
détruire	détruire
composant	composer
électronique	électronique
voir	voir
derrière	derrière
mur	mur
d'	de
envoyer	envoyer
informations	information
endroit	endroit
précis	précis
pièce	pièce
Progressivement	progressivement
avons	avoir
développé	développé
certain	certain
nombre	nombre
d'	de
instruments	instrument
originaux	original
fini	finir
déboucher	déboucher
création	création
start	start
ups	up
indique	indique
-t	-t
-il	il
A	avoir
partir	partir
concept	concept
temps	temps
Mathias	mathia
Fink	fink
équipe	équipe
découvert	découvrir
qu'	que
il	il
était	être
possible	possible
créer	créer
images	image
d'	de
une	un
autre	autre
façon	façon
Aussi	aussi
sont	être
-ils	il
parvenus	parvenir
fabriquer	fabriquer
imageurs	imageur
corps	corps
humain	humain
grâce	grâce
auxquels	auxquels
possible	possible
d'	de
obtenir	obtenir
images	image
seconde	second
corps	corps
humain	humain
Nous	nous
avons	avoir
pu	pouvoir
découvrir	découvrir
corps	corps
humain	humain
était	être
parcouru	parcourir
d'	de
ondes	onde
jamais	jamais
personne	personn
n'	ne
avait	avoir
observé	observer
jusqu'	jusque
alors	alors
s'	se
enthousiasme	enthousiasmer
-t	-t
-il	il
Le	le
temps	temps
aurait	avoir
-il	il
effets	effet
l'	le
âge	âge
ceux	celui
