mot	lemme
physique	physique
mathias	mathia
fink	fink
bel	bel
exemple	exemple
chercheur	chercheur
innove	innove
le	le
avril	avril
dernier	dernier
cnrs	cnrs
décernait	décerner
médaille	médaille
l'	le
innovation	innovation
valérie	valérie
pécresse	pécresse
ministre	ministre
l'	le
enseignement	enseignement
supérieur	supérieur
recherche	recherche
l'	le
origine	origine
création	création
le	le
cnrs	cnrs
souhaite	souhaiter
honorer	honorer
ingénieurs	ingénieur
travaillant	travailler
établissements	établissement
publics	public
recherche	recherche
universités	université
grandes	grand
écoles	école
industriels	industriel
développent	développer
innovations	innovation
marquantes	marquante
pour	pour
édition	édition
nouvelle	nouveau
distinction	distinction
attribuée	attribuer
réputés	réputé
l'	le
économiste	économiste
esther	esther
duflo	duflo
roboticien	roboticien
françois	françois
pierrot	pierrot
physicien	physicien
mathias	mathias
fink	fink
directeur	directeur
l'	le
institut	institut
langevin	langevin
ondes	onde
images	images
créé	créer
janvier	janvier
l'	le
ecole	ecole
physique	physique
chimie	chimie
industrielles	industrielles
ville	ville
paris	paris
espci	espci
mathias	mathia
fink	fink
remarquable	remarquable
exemple	exemple
innovent	innover
les	le
équipe	équipe
abouti	aboutir
création	création
quatre	quatre
start	start
ups	up
totalisent	totalisent
personnes	personne
domaines	domaine
variés	varier
médecine	médecine
télécommunications	télécommunications
multimédia	multimédia
objets	objet
tactiles	tactile
j'	je
aime	aimer
transformer	transformer
idées	idée
fondamentale	fondamental
produits	produit
innovants	innovant
précise	préciser
d'	de
emblée	emblée
mathias	mathia
fink	fink
mais	mais
parvenir	parvenir
fallait	falloir
trouver	trouver
terrain	terrain
propice	propice
et	et
c'	ce
est	être
fin	fin
l'	le
occasion	occasion
d'	de
une	un
rencontre	rencontre
georges	georges
charpak	charpak
nobel	nobel
physique	physique
qu'	que
il	il
découvrir	découvrir
coeur	coeur
montagne	montagne
sainte	saint
geneviève	geneviève
plein	plein
paris	paris
alors	alors
physicien	physicien
d'	de
un	un
grands	grand
laboratoires	laboratoire
français	français
solide	solide
mathias	mathia
fink	fink
souhaite	souhaiter
l'	le
innovation	innovation
autour	autour
concept	concept
temps	temps
de	de
belle	bel
physique	physique
qualifient	qualifient
connaisseurs	connaisseur
intéresse	intéresser
quatre	quatre
grands	grand
industriels	industriel
secteur	secteur
aéronautique	aéronautique
dassault	dassault
aerospatial	aerospatial
snecma	snecma
turboméca	turboméca
prêts	prêt
financer	financer
travaux	traval
mais	mais
époque	époque
milieu	milieu
peu	peu
enclin	enclin
travailler	travailler
l'	le
industrie	industrie
d'	de
autant	autant
celle-ci	celui-ci
militaro	militaro
industrielle	industriel
aussi	aussi
mathias	mathia
fink	fink
retrouve	retrouve
isolé	isolé
georges	georges
charpak	charpak
lui	luire
propose	proposer
rencontrer	rencontrer
pierre-gilles	pierre-gilles
gennes	gennes
directeur	directeur
l'	le
espci	espci
jacques	jacques
lewiner	lewiner
directeur	directeur
scientifique	scientifique
c'	ce
est	être
endroit	endroit
sympathique	sympathique
lui	luire
précise	préciser
georges	georges
charpak	charpak
je	je
ai	avoir
rencontré	rencontrer
l'	le
endroit	endroit
était	être
sympathique	sympathique
ils	il
m'	me
ont	avoir
dit	dire
vous	vous
voulez	vouloir
innovez	innover
alors	alors
venez	venir
résume	résumer
mathias	mathias
fink	fink
ajoute	ajoute
cela	celer
chance	chance
ma	mon
carrière	carrière
c'	ce
est	être
dès	dès
physicien	physicien
crée	créer
laboratoire	laboratoire
ondes	onde
acoustique	acoustique
école	école
qu'	que
il	il
qualifie	qualifier
"d'""unique"	"d'""uniqu"
innover	innover
particulièrement	particulièrement
bien	bien
vu	voir
l'	le
espci	espci
l'	le
on	on
vous	vous
donne	donne
feu	feu
vert	vert
moment	moment
l'	le
idée	idée
proposée	proposer
originale	original
précise	préciser
-t	-t
-il	il
autre	autre
particularité	particularité
école	école
vraiment	vraiment
autres	autre
grandes	grandes
ecoles	ecoles
pluridisciplinarité	pluridisciplinarité
règne	règn
ne	ne
cherchez	chercher
pas	pas
vous	vous
n'	ne
y	y
trouverez	trouver
ailleurs	ailleurs
département	département
physique	physique
département	département
chimie	chimie
département	département
biologie	biologie
ici	ici
vous	vous
dit	dire
dès	dès
départ	départ
vous	vous
êtes	être
chercheur	chercheur
amusez	amuser
-vous	vous
souligne	souligner
-t	-t
-il	il
pointe	pointe
d'	de
humour	humour
et	et
c'	ce
est	être
s'	se
amusant	amuser
lui	luire
équipe	équipe
développé	développé
fameux	fameux
miroirs	miroir
retournement	retournement
temporel	temporel
permettent	permettre
d'	de
échantillonner	échantillonner
d'	de
enregistrer	enregistrer
champ	champ
acoustique	acoustique
incident	incident
puis	pouvoir
réémettre	réémettre
chronologie	chronologie
inversée	inverser
mathias	mathia
fink	fink
collaborateurs	collaborateur
rendus	rendu
compte	compte
revivre	revivre
onde	onde
vie	vie
passée	passer
permettait	permettre
focaliser	focaliser
onde	onde
source	source
d'	de
une	un
façon	façon
efficace	efficace
ils	il
commencèrent	commencer
travailler	travailler
d'	de
abord	abord
ultrasons	ultrason
puis	pouvoir
ondes	onde
sismiques	sismique
micro-ondes	micro-ondes
cette	ce
équipe	équipe
aurait	avoir
pu	pouvoir
limiter	limiter
publier	publier
d'	de
excellents	excellent
papiers	papier
publications	publication
réputées	réputer
physical	physical
review	review
mais	mais
compris	compris
vite	vite
qu'	que
au-delà	au-delà
belle	bel
physique	physique
avait	avoir
applications	application
potentielles	potentiel
ainsi	ainsi
temps	temps
permettait	permettre
brûler	brûler
tumeur	tumeur
détruire	détruire
composant	composer
électronique	électronique
voir	voir
derrière	derrière
mur	mur
d'	de
envoyer	envoyer
informations	information
endroit	endroit
précis	précis
pièce	pièce
progressivement	progressivement
avons	avoir
développé	développé
certain	certain
nombre	nombre
d'	de
instruments	instrument
originaux	original
fini	finir
déboucher	déboucher
création	création
start	start
ups	up
indique	indique
-t	-t
-il	il
a	avoir
partir	partir
concept	concept
temps	temps
mathias	mathia
fink	fink
équipe	équipe
découvert	découvrir
qu'	que
il	il
était	être
possible	possible
créer	créer
images	image
d'	de
une	un
autre	autre
façon	façon
aussi	aussi
sont	être
-ils	il
parvenus	parvenir
fabriquer	fabriquer
imageurs	imageur
corps	corps
humain	humain
grâce	grâce
auxquels	auxquels
possible	possible
d'	de
obtenir	obtenir
images	image
seconde	second
corps	corps
humain	humain
nous	nous
avons	avoir
pu	pouvoir
découvrir	découvrir
corps	corps
humain	humain
était	être
parcouru	parcourir
d'	de
ondes	onde
jamais	jamais
personne	personn
n'	ne
avait	avoir
observé	observer
jusqu'	jusque
alors	alors
s'	se
enthousiasme	enthousiasmer
-t	-t
-il	il
le	le
temps	temps
aurait	avoir
-il	il
effets	effet
l'	le
âge	âge
ceux	celui
pratiquent	pratiquer
au	au
delà	delà
boutade	boutade
mathias	mathia
fink	fink
âgé	âgé
aujourd'hui	aujourd'hui
ans	an
pourrait	pouvoir
laisser	laisser
croire	croire
tant	tant
enthousiasme	enthousiasme
reste	reste
intact	intact
ainsi	ainsi
a	avoir
